word,cluster,risk_ratings,psych_voluntary,psych_fatal,psych_immediate,psych_dread,psych_catastrophic,psych_controllable,psych_known_sci,psych_known,psych_new,psych_pc1,psych_pc2,psych_pc3,psych_pc4,psych_pc5,psych_pc6,psych_pc7,psych_pc8,psych_pc9,in_Fisch,psych_pred_risk,glove_pred_risk,swow_pred_risk
food,Nature / Food,-47.52348993288591,3.630434782608696,3.347826086956522,4.913043478260869,2.652173913043478,2.5,3.847826086956522,1.826086956521739,3.1739130434782608,5.913043478260869,-0.46143455491245366,-0.13272068944516657,-0.6688972484006585,-0.37672430648370775,-0.26694373784908815,-0.24440179272244547,0.429560441091455,0.12719186886519462,0.16227193839115106,False,-9.596206533566672,-45.020535126572256,-54.112943938728975
nutrition,Nature / Food,-66.27450980392157,2.9565217391304346,4.043478260869565,6.152173913043479,2.260869565217391,2.565217391304348,4.478260869565217,1.4565217391304348,2.739130434782609,6.152173913043479,-1.0169574498634935,0.5436937949414168,-1.389561285707711,-1.620832063195383,0.22372207051618775,-0.12711443597315125,0.8155382845544409,0.26555821181980827,-0.23170358439301997,False,0.7720733972218312,-57.39311744639929,-67.68464638756964
hail,Nature / Food,11.793333333333331,5.8125,3.0416666666666665,3.7708333333333335,2.583333333333333,3.5625,1.625,1.625,2.7291666666666665,6.145833333333333,1.893148177456458,-1.430975631168198,-0.13271628674284444,0.029044903995482776,-1.6766414926358852,-1.4406725311096698,-0.6208019348649964,0.40246006309689764,-0.3355273940435805,False,-22.771235464878785,42.70708633520377,24.703842890421157
typing,Activities / Technologies,-75.41095890410959,1.875,1.1666666666666667,5.8125,1.4791666666666667,1.5833333333333333,4.708333333333334,3.7916666666666665,4.0625,3.875,-4.310260051371729,-1.1629819892589914,0.9544930563848635,0.06679374011165429,0.7432532061932243,0.39050898540046,-0.09375649902058561,0.1699555815465326,0.0905884859939322,False,-60.54186240084131,-46.47105669546983,-65.00870276585808
bat,Activities / Technologies,-1.0333333333333334,4.872340425531915,3.3404255319148937,4.9361702127659575,3.148936170212766,2.276595744680851,2.8510638297872344,2.4468085106382977,3.638297872340425,5.76595744680851,0.5060321090793741,-1.5079689784884105,-0.593594527822841,0.24608675324920276,-0.0558168026826301,-0.073054142595764,0.21287811048514296,0.19191649332833732,-0.16905935917865966,False,0.6197706634435605,-21.170455593523897,-28.03753898429086
anemia,Health,43.718120805369125,6.170212765957447,4.085106382978723,5.914893617021277,2.9574468085106385,1.5106382978723405,3.6595744680851063,1.319148936170213,2.978723404255319,6.340425531914893,0.8538266120207204,-1.5697967075882175,-2.6461396220745517,-0.28011092105373736,0.2792642532678943,-0.9568575950215682,0.7974912433683599,-0.5309457901367313,-0.5409988765189889,False,23.664642542380776,45.14196502020481,41.48183099752272
handgun,Crime / War / Violence,82.04697986577182,4.787234042553192,6.446808510638298,2.234042553191489,6.1063829787234045,3.893617021276596,2.4042553191489358,1.553191489361702,2.4468085106382977,5.468085106382978,4.744874055282923,1.6578853068178885,0.40872524092256685,0.8717728403433245,0.7142530583545097,0.24184711535377904,-0.0826088895998649,-0.4797947009683997,0.2880450029138042,True,92.36202049395037,54.2088240608462,86.65346224546393
gymnastics,Activities / Technologies,6.147651006711409,1.4166666666666667,2.833333333333333,4.354166666666667,1.75,1.4791666666666667,4.645833333333334,2.020833333333333,1.8125,5.5625,-2.6841706108476213,1.819759842287099,-0.7132459639672651,0.13208993757980067,-0.47308409274127916,-0.09979356201243063,-0.4611988163817883,0.21061214145065715,-0.16558597758311325,False,-25.62164827215676,-24.016918666166887,-2.5384290215962713
lottery,Activities / Technologies,-0.6891891891891891,1.702127659574468,1.6170212765957446,5.361702127659575,1.893617021276596,1.9361702127659572,4.212765957446809,3.595744680851064,3.617021276595745,3.9574468085106393,-3.5173948348691595,-0.5606486552223773,1.101933592322789,0.07202572029143697,0.6507841217406024,0.4522133889245681,-0.4845185251897389,0.37553360230676536,0.06083971437473159,False,-47.7893580109953,-19.793479984299722,0.7505258344737333
drunken,Activities / Technologies,40.794701986754966,1.872340425531915,4.531914893617022,4.97872340425532,3.4680851063829787,2.276595744680851,4.723404255319149,1.2765957446808511,1.7234042553191489,6.531914893617022,-0.515852788992605,2.4097709445105715,-1.6063966032089547,-0.9533680661982243,0.14530854443337174,0.6554293124187189,0.1506318124415681,-0.03450525511049862,0.24106618488870019,False,34.62294647951491,48.62887491633681,50.51285523914274
